District,Latitude,Longitude,Population in 2001,Population in 2011
Mokokchung,26.47891176,94.52242601,232085,194622
Mon,26.69207374,95.03072989,260652,250260
Phek,25.63272987,94.56814564,148195,163418
Tuensang,26.21104453,94.85809881,186003,196596
Wokha,26.20261155,94.19908152,161223,166343
Zunheboto,26.02817821,94.50026667,154598,140757
Amritsar,31.54867982,74.79883857,2157020,2490656
Bathinda,30.19052461,75.05685898,1183295,1388525
Faridkot,30.59118725,74.79751554,550892,617508
Fatehgarh Sahib,30.64290947,76.36208395,538470,600163
Firozpur,30.63407535,74.40245732,1746107,2029074
Gurdaspur,32.04283371,75.32040644,2103455,2298323
Hoshiarpur,31.5515717,75.84698574,1481292,1586625
Jalandhar,31.25033691,75.54400351,1962761,2193590
Kapurthala,31.33659264,75.47641166,754521,815168
Ludhiana,30.76596397,75.83110852,3032831,3498739
Mansa,29.91954771,75.43049229,688758,769751
Moga,30.75654007,75.16008451,894793,995746
Patiala,30.21454038,76.27505894,1584780,1895686
Rupnagar,30.91093733,76.53743501,628846,684627
Sangrur,30.1850452,75.89437014,1473242,1655169
Ajmer,26.19930038,74.69904192,2178447,2583052
Alwar,27.55271738,76.65359631,2991552,3674179
Banswara,23.45364203,74.44246868,1420601,1797485
Baran,24.98023243,76.86210652,1021473,1222755
Barmer,25.77070908,71.50297126,1964835,2603751
Bharatpur,27.32411858,77.21752077,2100020,2548462
Bhilwara,25.45119768,74.63947596,2020969,2408523
Bikaner,28.12489068,73.26943323,1696039,2363937
Bundi,25.48580716,75.79984074,962620,1110906
Churu,28.29330376,74.65846427,1902110,2039547
Dausa,26.91234818,76.57342097,1323002,1634409
Dungarpur,23.75104808,73.84765641,1107643,1388552
Hanumangarh,29.18133518,74.74632573,1518005,1774692
Jaipur,27.03345929,75.77117286,5251071,6626178
Jaisalmer,26.86900839,71.18371877,508247,669919
Jhalawar,24.24725541,76.11242892,1180323,1411129
Jodhpur,26.67846084,73.00450847,2886505,3687165
Karauli,26.51901556,76.96081818,1205888,1458248
Kota,25.17571808,76.18618928,1568705,1951014
Nagaur,27.07862016,74.14215667,2775058,3307743
Pali,25.80490394,73.55285641,1820251,2037573
Rajsamand,25.24894767,73.96570216,982523,1156597
Sawai Madhopur,26.25108118,76.42192839,1117057,1335551
Sikar,27.64644059,75.29317423,2287788,2677333
Sirohi,24.79769053,72.75309132,851107,1036346
Tonk,26.15393507,75.79192216,1211671,1421326
Udaipur,24.44076752,73.8402984,2481201,3068420
Ariyalur,11.19051484,79.22249644,695524,754894
Chennai,13.05809891,80.28139152,4343645,4646732
Coimbatore,10.871377,77.07619012,2916620,3458045
Cuddalore,11.57587301,79.63002365,2285395,2605914
Dharmapuri,12.3001412,78.11509813,1295182,1506843
Dindigul,10.37780139,77.7801128,1923014,2159775
Erode,11.26701216,77.42034335,2016582,2251744
Karur,10.79532777,78.08749687,935686,1064493
Madurai,9.904313833,78.01366033,2578201,3038252
Nagapattinam,10.78946816,79.79437299,1488839,1616450
Namakkal,11.33766638,78.14624841,1493462,1726601
Perambalur,11.26013776,78.86034012,493646,565223
Pudukkottai,10.13051482,79.05444484,1459601,1618345
Ramanathapuram,9.312869952,78.99185362,1187604,1353445
Salem,11.6293242,78.2478258,3016346,3482056
Sivaganga,9.960306581,78.56535729,1155356,1339101
Thanjavur,10.38769226,79.31948691,2216138,2405890
Theni,9.924066667,77.43458833,1093950,1245899
Tiruvannamalai,12.41931895,79.23265632,2186125,2464875
Vellore,12.78488263,79.02643284,3477317,3936331
Virudhunagar,9.468872196,77.87641469,1751301,1942288
Dhalai,23.78136048,91.94654283,310598,378230
North Tripura,24.12173976,92.17842538,590913,693947
South Tripura,23.2118741,91.60658076,764710,876001
West Tripura,23.78016624,91.41310789,1532982,1725739
Agra,26.99512975,78.05278292,3621702,4418797
Aligarh,27.93748577,78.00146831,2992286,3673889
Allahabad,25.39203866,82.05172447,4937266,5954391
Ambedkar Nagar,26.39119026,82.68282143,2026876,2397888
Auraiya,26.66892394,79.42637057,1179993,1379545
Azamgarh,26.00829095,83.01220251,3939916,4613913
Baghpat,29.0457935,77.302663,1163991,1303048
Bahraich,27.6917763,81.46779783,2701478,3487731
Ballia,25.86075638,84.03651979,2760667,3239774
Balrampur,27.44907654,82.47158326,1682350,2148665
Banda,25.3518859,80.52487391,1501602,1799410
Bara Banki,26.92277703,81.35762351,2673581,3260699
Bareilly,28.51101941,79.43187072,3618589,4448359
Basti,26.83388045,82.69790591,2084814,2464464
Bijnor,29.31397426,78.45098815,3131619,3682713
Bulandshahr,28.34875862,78.01082759,3009860,3499171
Chandauli,25.11808596,83.25307063,1643251,1952756
Chitrakoot,25.15992462,81.07666088,801957,991730
